Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
middle_middle,-0.000230368247225323,5.52667321999743E-05,0.01619749717231,0,0,0,0.00314204808883818,3.20092678111392E-07,-1.08641100687566E-11,1.53074298945201E-08,2.47015765909473E-07,-1.53970978537133E-10,1.35843361683385E-07,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/middle_middle.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/middle_middle.STL,,middle_middle-1,middle_middle-zb,middle_middle-z,middle_pip,revolute,-0.00414396862448903,7.3133119114277E-05,0.0448276641772237,0,0,0,middle_proximal,0,0.999998669223521,-0.00163142612039514,100,1,1,0,,,,,,,,
middle_distal,-0.00724758468028898,-2.27990144281778E-05,0.00505893372906671,0,0,0,0.00258260294313138,1.29720848656837E-07,1.89243898979081E-10,4.14544297269986E-08,1.36472188916914E-07,-3.70737066885829E-10,1.01526072268206E-07,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/middle_distal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/middle_distal.STL,,middle_distal-2,middle_distal-zb,middle_distal-z,middle_dip,revolute,0.00362953932909984,5.15731342090597E-05,0.031612259069028,0,0,0,middle_middle,0,0.99999866922354,-0.0016314261089444,100,1,1,0,,,,,,,,
middle_Virtual_Point,4.81580053612873E-13,1.33037331151442E-12,-6.74460487459783E-15,0,0,0,5.23598775598299E-07,5.23598775598299E-14,-4.90325426925644E-42,1.17662710661929E-40,5.23598775598299E-14,1.29845462914076E-30,5.23598775598299E-14,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/middle_Virtual_Point.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/middle_Virtual_Point.STL,,middle_Virtual_Point-1,middle_Virtual_Point-zb,Axis_middle_Virtual_Point-none,middle_Virtual_Point-none,fixed,-0.0154287963750709,3.90611932357243E-05,0.0239429432292471,0,0,0,middle_distal,0,0,0,,,,,,,,,,,,
ring_proximal,-0.00161802170047008,-2.08220096852268E-05,0.0212342177709951,0,0,0,0.0047795328266326,5.43923252152409E-07,-8.48896522637981E-11,2.4689478865027E-08,5.41640127982143E-07,-2.5218290048469E-10,1.76501748993068E-07,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/ring_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/ring_proximal.STL,,ring_proximal-1,ring_proximal-zb,ring_proximal-z,ring_mcp_pitch,revolute,0.0001598,-0.013573,0.11972,0,0,0,hand_base_link,0,0,0,100,1,0,1,,,,,,,,
ring_middle,0.000940340714750308,-1.66667751162405E-05,0.0134216382614548,0,0,0,0.0027077533496335,2.25767846748625E-07,4.61360531413437E-12,2.32301202429608E-09,1.61875511170868E-07,-9.05860342855209E-12,1.17700137222491E-07,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/ring_middle.STL,0,0,0,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/ring_middle.STL,,ring_middle-1,ring_middle-zb,ring_middle-z,ring_pip,revolute,-0.0039295,0,0.03983,0,0,0,ring_proximal,0,1,0,100,1,1,0,,,,,,,,
ring_distal,-0.00679183129010172,-3.1051267307786E-05,0.00565592901618503,0,0,0,0.00258259127175773,1.36530380213342E-07,9.44469863763946E-11,3.84707548646242E-08,1.36471612117152E-07,-3.22664356287902E-10,9.47134934031493E-08,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/ring_distal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/ring_distal.STL,,ring_distal-2,ring_distal-zb,ring_distal-z,ring_dip,revolute,0.00601275714854613,0,0.0264415298059948,0,0,0,ring_middle,0,1,0,100,1,1,0,,,,,,,,
ring_Virtual_Point,-1.13526896217131E-12,9.35964847292858E-13,5.27355936696949E-16,0,0,0,5.23598775598299E-07,5.23598775598299E-14,1.58205846501508E-40,1.56203013032883E-40,5.23598775598299E-14,1.85037170770859E-30,5.23598775598299E-14,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/ring_Virtual_Point.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/ring_Virtual_Point.STL,,ring_Virtual_Point-1,ring_Virtual_Point-zb,,ring_Virtual_Point-none,fixed,-0.01334,0,0.025167,0,0,0,ring_distal,0,0,0,,,,,,,,,,,,
pinky_proximal,-0.0016180221168521,-2.08215074695289E-05,0.0212342179851402,0,0,0,0.00477953323340541,5.43923274544673E-07,-8.48863445397533E-11,2.46894910332365E-08,5.41640168354855E-07,-2.52187730642466E-10,1.7650175778066E-07,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/pinky_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/pinky_proximal.STL,,pinky_proximal-1,pinky_proximal-zb,pinky_proximal-z,pinky_mcp_pitch,revolute,0.000159802654372855,-0.0336303181952511,0.11271621059493,0,0,0,hand_base_link,0,1,0,100,1,1,0,,,,,,,,
pinky_middle,0.000940340979638598,-1.66665156724755E-05,0.0134216381434371,0,0,0,0.00270775345292578,2.25767855959524E-07,4.61316580602277E-12,2.32301150942084E-09,1.61875516933061E-07,-9.05509549786009E-12,1.17700140839825E-07,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/pinky_middle.STL,0,0,0,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/pinky_middle.STL,,pinky_middle-1,pinky_middle-zb,pinky_middle-z,pinky_pip,revolute,-0.00392950397727024,0,0.0398303439412377,0,0,0,pinky_proximal,0,1,0,100,1,1,0,,,,,,,,
pinky_distal,-0.00679190409450586,-3.10511081597076E-05,0.00565584201307923,0,0,0,0.00258259141809727,1.36529403216541E-07,9.44507918542087E-11,3.84712982116646E-08,1.36471628325979E-07,-3.22662637208023E-10,9.47144825482917E-08,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/pinky_distal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/pinky_distal.STL,,pinky_distal-2,pinky_distal-zb,pinky_distal-z,pinky_dip,revolute,0.00601270306428537,0,0.0264416319816371,0,0,0,pinky_middle,0,1,0,100,1,1,0,,,,,,,,
pinky_Virtual_Point,-2.83552521740393E-12,9.35987398698046E-13,8.32667268468867E-17,0,0,0,5.23598775598299E-07,5.23598775598299E-14,3.70623385375214E-40,1.56278809626202E-40,5.23598775598299E-14,1.85037170770859E-30,5.23598775598299E-14,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/pinky_Virtual_Point.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/pinky_Virtual_Point.STL,,pinky_Virtual_Point-1,pinky_Virtual_Point-zb,Axis_pinky_Virtual_Point-none,pinky_Virtual_Point-none,fixed,-0.0133404537520391,0,0.0251663685805378,0,0,0,pinky_distal,0,0,0,,,,,,,,,,,,
